name,rating,categories,address,zip_code,embedding_text
Curry & Clay Oven,4.8,Restaurant,"5645 Langston Blvd., Arlington",22201,"Curry & Clay Oven. Category: Restaurant. Known for Restaurant dishes. Located at 5645 Langston Blvd., Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Himalayan Wild Yak - Arlington,4.8,Restaurant,"1010 N Glebe Rd, Arlington",22201,"Himalayan Wild Yak - Arlington. Category: Restaurant. Known for Restaurant dishes. Located at 1010 N Glebe Rd, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Charga on The Pike,4.8,Restaurant,"3203 Columbia Pike, Arlington",22201,"Charga on The Pike. Category: Restaurant. Known for Restaurant dishes. Located at 3203 Columbia Pike, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Aladdin Restaurant,4.8,Restaurant,"5119 Lee Hwy, Arlington",22201,"Aladdin Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 5119 Lee Hwy, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Royal Nepal Restaurant,4.7,Restaurant,"3807 Mt Vernon Ave, Alexandria",22201,"Royal Nepal Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 3807 Mt Vernon Ave, Alexandria. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
Spice Kraft Indian Bistro,4.7,Bar,"1135 N Highland St, Arlington",22201,"Spice Kraft Indian Bistro. Category: Bar. Known for Bar dishes. Located at 1135 N Highland St, Arlington. Rated 4.7 stars. A popular spot for people craving Bar or similar foods."
Tikka Masala Street Food,4.5,Restaurant,"2200 Clarendon Blvd, Arlington",22201,"Tikka Masala Street Food. Category: Restaurant. Known for Restaurant dishes. Located at 2200 Clarendon Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Mehran Restaurant,4.5,Restaurant,"2721 Wilson Blvd, Arlington",22201,"Mehran Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 2721 Wilson Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
RASA,4.5,Restaurant,"2200 Crystal Dr Suite F, Arlington",22201,"RASA. Category: Restaurant. Known for Restaurant dishes. Located at 2200 Crystal Dr Suite F, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Enjera Restaurant,4.4,Bar,"549 23rd St S, Arlington",22201,"Enjera Restaurant. Category: Bar. Known for Bar dishes. Located at 549 23rd St S, Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
