name,rating,categories,address,zip_code,embedding_text
Curry & Clay Oven,4.8,Restaurant,"5645 Langston Blvd., Arlington",22201,"Curry & Clay Oven. Category: Restaurant. Known for Restaurant dishes. Located at 5645 Langston Blvd., Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Himalayan Wild Yak - Arlington,4.8,Restaurant,"1010 N Glebe Rd, Arlington",22201,"Himalayan Wild Yak - Arlington. Category: Restaurant. Known for Restaurant dishes. Located at 1010 N Glebe Rd, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Aladdin Restaurant,4.8,Restaurant,"5119 Lee Hwy, Arlington",22201,"Aladdin Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 5119 Lee Hwy, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Spice Kraft Indian Bistro,4.7,Bar,"1135 N Highland St, Arlington",22201,"Spice Kraft Indian Bistro. Category: Bar. Known for Bar dishes. Located at 1135 N Highland St, Arlington. Rated 4.7 stars. A popular spot for people craving Bar or similar foods."
Royal Nepal Restaurant,4.7,Restaurant,"3807 Mt Vernon Ave, Alexandria",22201,"Royal Nepal Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 3807 Mt Vernon Ave, Alexandria. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
Mehran Restaurant,4.5,Restaurant,"2721 Wilson Blvd, Arlington",22201,"Mehran Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 2721 Wilson Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Tikka Masala Street Food,4.5,Restaurant,"2200 Clarendon Blvd, Arlington",22201,"Tikka Masala Street Food. Category: Restaurant. Known for Restaurant dishes. Located at 2200 Clarendon Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
RASA,4.5,Restaurant,"2200 Crystal Dr Suite F, Arlington",22201,"RASA. Category: Restaurant. Known for Restaurant dishes. Located at 2200 Crystal Dr Suite F, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Enjera Restaurant,4.4,Bar,"549 23rd St S, Arlington",22201,"Enjera Restaurant. Category: Bar. Known for Bar dishes. Located at 549 23rd St S, Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
Bollywood Bistro Express,4.4,Restaurant,"4238 Wilson Blvd, Arlington",22201,"Bollywood Bistro Express. Category: Restaurant. Known for Restaurant dishes. Located at 4238 Wilson Blvd, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Urban Tandoor,4.3,Restaurant,"801 N Quincy St, Arlington",22201,"Urban Tandoor. Category: Restaurant. Known for Restaurant dishes. Located at 801 N Quincy St, Arlington. Rated 4.3 stars. A popular spot for people craving Restaurant or similar foods."
City Kabob (Arlington),4.1,Restaurant,"Right Side of Mcdonald's Behind 7-Eleven, 3007 Columbia Pike, Arlington",22201,"City Kabob (Arlington). Category: Restaurant. Known for Restaurant dishes. Located at Right Side of Mcdonald's Behind 7-Eleven, 3007 Columbia Pike, Arlington. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
Masala Express,4.1,Restaurant,"2622 N Pershing Dr A, Arlington",22201,"Masala Express. Category: Restaurant. Known for Restaurant dishes. Located at 2622 N Pershing Dr A, Arlington. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
Kabob Palace,4.0,Restaurant,"2315 S Eads St, Arlington",22201,"Kabob Palace. Category: Restaurant. Known for Restaurant dishes. Located at 2315 S Eads St, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
Kohinoor Dhaba,4.0,Restaurant,"2800 S Eads St, Arlington",22201,"Kohinoor Dhaba. Category: Restaurant. Known for Restaurant dishes. Located at 2800 S Eads St, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
Delhi Dhaba,3.9,Meal Takeaway,"2424 Wilson Blvd, Arlington",22201,"Delhi Dhaba. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 2424 Wilson Blvd, Arlington. Rated 3.9 stars. A popular spot for people craving Meal Takeaway or similar foods."
Deshi Spice,3.7,Restaurant,"5169 Langston Blvd., Arlington",22201,"Deshi Spice. Category: Restaurant. Known for Restaurant dishes. Located at 5169 Langston Blvd., Arlington. Rated 3.7 stars. A popular spot for people craving Restaurant or similar foods."
