name,rating,categories,address,zip_code,embedding_text
Himalayan Wild Yak - Arlington,4.8,Restaurant,"1010 N Glebe Rd, Arlington",22201,"Himalayan Wild Yak - Arlington. Category: Restaurant. Known for Restaurant dishes. Located at 1010 N Glebe Rd, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
"Milanga Place, Arlington, VA",4.8,Meal Takeaway,"6017 Wilson Blvd, Arlington",22201,"Milanga Place, Arlington, VA. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 6017 Wilson Blvd, Arlington. Rated 4.8 stars. A popular spot for people craving Meal Takeaway or similar foods."
Hawkers Asian Street Food,4.7,Restaurant,"4201 Wilson Blvd #0170, Arlington",22201,"Hawkers Asian Street Food. Category: Restaurant. Known for Restaurant dishes. Located at 4201 Wilson Blvd #0170, Arlington. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
Carbonara,4.7,Restaurant,"3865 Wilson Blvd, Arlington",22201,"Carbonara. Category: Restaurant. Known for Restaurant dishes. Located at 3865 Wilson Blvd, Arlington. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
Immigrant Food Ballston,4.6,Restaurant,"4245 Fairfax Dr, Arlington",22201,"Immigrant Food Ballston. Category: Restaurant. Known for Restaurant dishes. Located at 4245 Fairfax Dr, Arlington. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
The Commentary,4.6,Restaurant,"801 N Glebe Rd, Arlington",22201,"The Commentary. Category: Restaurant. Known for Restaurant dishes. Located at 801 N Glebe Rd, Arlington. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
Superette,4.5,Restaurant,"4238 Wilson Blvd Suite 102, Arlington",22201,"Superette. Category: Restaurant. Known for Restaurant dishes. Located at 4238 Wilson Blvd Suite 102, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Big Buns,4.5,Restaurant,"4401 Wilson Blvd, Arlington",22201,"Big Buns. Category: Restaurant. Known for Restaurant dishes. Located at 4401 Wilson Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Ballston Local,4.5,Bar,"900 N Glebe Rd, Arlington",22201,"Ballston Local. Category: Bar. Known for Bar dishes. Located at 900 N Glebe Rd, Arlington. Rated 4.5 stars. A popular spot for people craving Bar or similar foods."
"AMBAR Restaurant, Clarendon",4.5,Bar,"2901 Wilson Blvd, Arlington",22201,"AMBAR Restaurant, Clarendon. Category: Bar. Known for Bar dishes. Located at 2901 Wilson Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Bar or similar foods."
Palette 22,4.5,Restaurant,"4053 Campbell Ave, Arlington",22201,"Palette 22. Category: Restaurant. Known for Restaurant dishes. Located at 4053 Campbell Ave, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Open Road Rosslyn,4.5,Restaurant,"1201 Wilson Blvd Suite 213, Arlington",22201,"Open Road Rosslyn. Category: Restaurant. Known for Restaurant dishes. Located at 1201 Wilson Blvd Suite 213, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Ted's Bulletin,4.5,"Bakery, Store","4238 Wilson Blvd #1130, Arlington",22201,"Ted's Bulletin. Category: Bakery, Store. Known for Bakery, Store dishes. Located at 4238 Wilson Blvd #1130, Arlington. Rated 4.5 stars. A popular spot for people craving Bakery, Store or similar foods."
Bob & Edith's Diner - Columbia Pike,4.4,Restaurant,"2310 Columbia Pike, Arlington",22201,"Bob & Edith's Diner - Columbia Pike. Category: Restaurant. Known for Restaurant dishes. Located at 2310 Columbia Pike, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
