name,rating,categories,address,zip_code,embedding_text
Maharaja Cuisine of India,4.8,Restaurant,"3701 NE 45th St, Seattle",98105,"Maharaja Cuisine of India. Category: Restaurant. Located at 3701 NE 45th St, Seattle. Rated 4.8 stars."
JOEY U-Village,4.8,Restaurant,"2603 NE 46th St, Seattle",98105,"JOEY U-Village. Category: Restaurant. Located at 2603 NE 46th St, Seattle. Rated 4.8 stars."
Zouave Restaurant,4.8,Restaurant,"2615 NE 65th St, Seattle",98105,"Zouave Restaurant. Category: Restaurant. Located at 2615 NE 65th St, Seattle. Rated 4.8 stars."
Wataru,4.7,Restaurant,"2400 NE 65th St, Seattle",98105,"Wataru. Category: Restaurant. Located at 2400 NE 65th St, Seattle. Rated 4.7 stars."
Slurp Station Aburasoba - UW,4.7,Restaurant,"4701 Brooklyn Ave NE, Seattle",98105,"Slurp Station Aburasoba - UW. Category: Restaurant. Located at 4701 Brooklyn Ave NE, Seattle. Rated 4.7 stars."
Momi Indian Kitchen,4.7,Restaurant,"6900 East Green Lake Way N Ste. C, Seattle",98105,"Momi Indian Kitchen. Category: Restaurant. Located at 6900 East Green Lake Way N Ste. C, Seattle. Rated 4.7 stars."
Angkor Wok,4.6,Restaurant,"1100 NE 45th St Suite 110, Seattle",98105,"Angkor Wok. Category: Restaurant. Located at 1100 NE 45th St Suite 110, Seattle. Rated 4.6 stars."
Masala Wedgwood,4.6,Restaurant,"8515 35th Ave NE ste c, Seattle",98105,"Masala Wedgwood. Category: Restaurant. Located at 8515 35th Ave NE ste c, Seattle. Rated 4.6 stars."
Taste of Xi'an 西安味道,4.5,Meal Delivery,"4523 University Wy NE, Seattle",98105,"Taste of Xi'an 西安味道. Category: Meal Delivery. Located at 4523 University Wy NE, Seattle. Rated 4.5 stars."
Time Bistro,4.5,Restaurant,"4537B University Wy NE, Seattle",98105,"Time Bistro. Category: Restaurant. Located at 4537B University Wy NE, Seattle. Rated 4.5 stars."
Almanqal Mediterranean Grill,4.5,Restaurant,"1712 N 45th St, Seattle",98105,"Almanqal Mediterranean Grill. Category: Restaurant. Located at 1712 N 45th St, Seattle. Rated 4.5 stars."
The Kitchen,4.5,Restaurant,"7214 Woodlawn Ave NE, Seattle",98105,"The Kitchen. Category: Restaurant. Located at 7214 Woodlawn Ave NE, Seattle. Rated 4.5 stars."
Caravan Halal Central Asian Fusion,4.5,Restaurant,"405 NE 45th St, Seattle",98105,"Caravan Halal Central Asian Fusion. Category: Restaurant. Located at 405 NE 45th St, Seattle. Rated 4.5 stars."
Mr. Gyros,4.5,Restaurant,"256 NE 45th St, Seattle",98105,"Mr. Gyros. Category: Restaurant. Located at 256 NE 45th St, Seattle. Rated 4.5 stars."
Zaina,4.4,Restaurant,"8000 Lake City Way NE, Seattle",98105,"Zaina. Category: Restaurant. Located at 8000 Lake City Way NE, Seattle. Rated 4.4 stars."
Cedars in University District,4.4,"Meal Delivery, Meal Takeaway, Bar","4759 Brooklyn Ave NE, Seattle",98105,"Cedars in University District. Category: Meal Delivery, Meal Takeaway, Bar. Located at 4759 Brooklyn Ave NE, Seattle. Rated 4.4 stars."
Harissa Mediterranean Cuisine,4.4,Restaurant,"2255 NE 65th St, Seattle",98105,"Harissa Mediterranean Cuisine. Category: Restaurant. Located at 2255 NE 65th St, Seattle. Rated 4.4 stars."
Chuan House,4.4,Restaurant,"4509 University Wy NE, Seattle",98105,"Chuan House. Category: Restaurant. Located at 4509 University Wy NE, Seattle. Rated 4.4 stars."
Jewel of India,4.4,Meal Takeaway,"4735 University Wy NE, Seattle",98105,"Jewel of India. Category: Meal Takeaway. Located at 4735 University Wy NE, Seattle. Rated 4.4 stars."
YangGuoFu YGF MalaTang,4.3,Restaurant,"4730 University Wy NE Suite #103, Seattle",98105,"YangGuoFu YGF MalaTang. Category: Restaurant. Located at 4730 University Wy NE Suite #103, Seattle. Rated 4.3 stars."
Ba Bar University Village,4.3,Bar,"2685 NE 46th St #2503, Seattle",98105,"Ba Bar University Village. Category: Bar. Located at 2685 NE 46th St #2503, Seattle. Rated 4.3 stars."
Itadakimasu,4.3,Bar,"4743 Brooklyn Ave NE, Seattle",98105,"Itadakimasu. Category: Bar. Located at 4743 Brooklyn Ave NE, Seattle. Rated 4.3 stars."
Ma’ono Fried Chicken,4.3,Restaurant,"inside Rachel’s Ginger Beer, 4626 26th Ave NE, Seattle",98105,"Ma’ono Fried Chicken. Category: Restaurant. Located at inside Rachel’s Ginger Beer, 4626 26th Ave NE, Seattle. Rated 4.3 stars."
KRUA THAI EATERY,4.3,Restaurant,"2515 NE 55th St, Seattle",98105,"KRUA THAI EATERY. Category: Restaurant. Located at 2515 NE 55th St, Seattle. Rated 4.3 stars."
Djan's Dining Thai Restaurant,4.2,Restaurant,"264 NE 45th St, Seattle",98105,"Djan's Dining Thai Restaurant. Category: Restaurant. Located at 264 NE 45th St, Seattle. Rated 4.2 stars."
Eureka!,4.2,Restaurant,"2614 NE 46th St, Seattle",98105,"Eureka!. Category: Restaurant. Located at 2614 NE 46th St, Seattle. Rated 4.2 stars."
Maggi Point Restaurant Indian Food indo chinese food,4.2,Restaurant,"4736 University Wy NE, Seattle",98105,"Maggi Point Restaurant Indian Food indo chinese food. Category: Restaurant. Located at 4736 University Wy NE, Seattle. Rated 4.2 stars."
Marlai Thai Cuisine,4.0,Restaurant,"3719 NE 45th St, Seattle",98105,"Marlai Thai Cuisine. Category: Restaurant. Located at 3719 NE 45th St, Seattle. Rated 4 stars."
Yu Sushi & Katsu,3.9,Restaurant,"4129 University Wy NE, Seattle",98105,"Yu Sushi & Katsu. Category: Restaurant. Located at 4129 University Wy NE, Seattle. Rated 3.9 stars."
Jai Thai Udub,3.9,Restaurant,"4214 University Wy NE until A, Seattle",98105,"Jai Thai Udub. Category: Restaurant. Located at 4214 University Wy NE until A, Seattle. Rated 3.9 stars."
Ag47 Bar & Bistro,3.8,Bar,"5036 25th Ave NE, Seattle",98105,"Ag47 Bar & Bistro. Category: Bar. Located at 5036 25th Ave NE, Seattle. Rated 3.8 stars."
